yyyy,PerNo,PerStatus,sex,工作分類,職等,廠區代碼,管理層級,工作資歷1,工作資歷2,工作資歷3,工作資歷4,工作資歷5,專案時數,專案總數,當前專案角色,特殊專案佔比,工作地點,訓練時數A,訓練時數B,訓練時數C,生產總額,榮譽數,是否升遷,升遷速度,近三月請假數A,近一年請假數A,近三月請假數B,近一年請假數B,出差數A,出差數B,出差集中度,年度績效等級A,年度績效等級B,年度績效等級C,年齡層級,婚姻狀況,年資層級A,年資層級B,年資層級C,任職前工作平均年數,眷屬量,通勤成本,歸屬部門
2014,28,1,1.0,1.0,4.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,1.0,5.0,0.0,6.0,0.0,0.0,1.0,5.0,0.0,0.0,1.0,0.0,7.0,1.0,2.0,1.0,0.0,0.0,1.0,4.0,2.0,4.0,2.0,2.0,1.0,2.0,0.0,0.0,8.0,6167.0
2014,54,1,1.0,1.0,4.0,8.0,1.0,0.0,0.0,0.0,0.0,1.0,23.0,1.0,1.0,0.0,5.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,3.0,7.0,0.0,0.0,1.0,0.0,0.0,10.0,10.0,2.0,5.0,1.0,1.0,1.0,0.0,0.0,1.0,8.0,8145.0
2014,105,1,1.0,1.0,3.0,19.0,1.0,0.0,0.0,1.0,0.0,1.0,22.0,1.0,1.0,0.0,6.0,0.0,2.0,1.0,8.0,1.0,0.0,1.0,4.0,7.0,0.0,0.0,1.0,1.0,3.0,1.0,10.0,4.0,5.0,2.0,2.0,2.0,0.0,0.0,1.0,13.0,19043.0
2014,116,1,1.0,1.0,7.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,24.0,3.0,5.0,1.0,6.0,0.0,0.0,7.0,10.0,0.0,0.0,1.0,1.0,5.0,0.0,0.0,2.0,0.0,2.0,5.0,9.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,0.0,8.0,13151.0
2014,142,1,1.0,1.0,4.0,8.0,1.0,0.0,0.0,0.0,0.0,1.0,23.0,3.0,5.0,1.0,5.0,1.0,0.0,7.0,3.0,0.0,0.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,10.0,8.0,2.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,8.0,8162.0
2014,156,1,1.0,1.0,4.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,1.0,5.0,0.0,6.0,0.0,0.0,2.0,12.0,2.0,0.0,2.0,1.0,6.0,0.0,0.0,1.0,0.0,0.0,1.0,6.0,2.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,10008.0
2014,176,1,1.0,1.0,7.0,10.0,1.0,0.0,0.0,0.0,0.0,1.0,23.0,1.0,5.0,0.0,6.0,0.0,0.0,2.0,4.0,0.0,0.0,1.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,5.0,3.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,8.0,10011.0
2014,180,1,1.0,1.0,4.0,16.0,1.0,0.0,0.0,0.0,0.0,1.0,22.0,1.0,5.0,2.0,5.0,0.0,0.0,1.0,16.0,0.0,0.0,3.0,4.0,10.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,5.0,6.0,1.0,2.0,2.0,0.0,0.0,0.0,9.0,16086.0
2014,190,1,1.0,1.0,4.0,19.0,1.0,0.0,0.0,0.0,0.0,1.0,24.0,1.0,5.0,0.0,6.0,0.0,0.0,2.0,5.0,1.0,0.0,1.0,4.0,3.0,0.0,0.0,1.0,0.0,0.0,10.0,5.0,5.0,3.0,1.0,2.0,2.0,0.0,0.0,0.0,8.0,19039.0
2014,234,1,0.0,2.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,21.0,4.0,5.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,3.0,6.0,0.0,0.0,1.0,0.0,0.0,5.0,6.0,2.0,9.0,1.0,5.0,4.0,1.0,1.0,0.0,8.0,2180.0
2014,275,1,1.0,1.0,4.0,13.0,1.0,0.0,0.0,0.0,0.0,1.0,23.0,1.0,5.0,0.0,6.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,6.0,0.0,0.0,1.0,0.0,2.0,10.0,9.0,2.0,4.0,2.0,2.0,2.0,0.0,0.0,1.0,8.0,13147.0
2014,297,1,1.0,1.0,4.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,1.0,5.0,1.0,6.0,0.0,0.0,3.0,2.0,2.0,0.0,1.0,1.0,7.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,3.0,7.0,1.0,2.0,1.0,1.0,1.0,1.0,10.0,19135.0
2014,312,1,1.0,1.0,3.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,23.0,2.0,1.0,0.0,6.0,2.0,0.0,1.0,14.0,2.0,0.0,1.0,6.0,6.0,0.0,0.0,1.0,0.0,0.0,2.0,7.0,2.0,5.0,1.0,3.0,3.0,0.0,0.0,2.0,8.0,2058.0
